id;phonenumber;code;first_name;last_name;gender;age;is_blocked;partner_type;inn;pinfl
1;Borders;driver por;Nina;Veum;FAMALE;61;true;CUSTOMER;9;14
2;killer;Colon Pant;Gregory;Raynor;FAMALE;69;false;SUPPLIER;9;14
3;blue generati;Incredible;Jarvis;Anderson;MALE;20;true;SUPPLIER;9;14
4;value-added b;Loan THX;Kellie;O'Reilly;MALE;42;false;CUSTOMER;9;14
5;system-worthy;Designer;Terrence;Wilkinson;FAMALE;96;true;CUSTOMER;9;14
6;Account Berks;Steel Dina;Madilyn;Hyatt;FAMALE;18;true;CUSTOMER;9;14
7;TCP Granite;Refined La;Ramona;Stroman;FAMALE;29;false;SUPPLIER;9;14
8;Awesome Pre-e;Borders;Fritz;Larkin;MALE;47;false;SUPPLIER;9;14
9;Lempira granu;index Fres;Lolita;Dietrich;FAMALE;27;true;CUSTOMER;9;14
10;Towels Courts;Generic Ja;Creola;Botsford;FAMALE;79;true;CUSTOMER;9;14
